NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
MainPageName;;;Главная;;;;Имя вкладки "Главная";
DiagnosticSystemTailOnMainPage;sunrise-homePage-content;;;//div[normalize-space() = 'Диагностика системы'];;;Заголовок плитки "Диагностика системы" на вкладке "Главная";
VersionTail;sunrise-homePage-content-version;.version;;;;;Плитка "Версия ПО";
MainPageSTChannelConnect;;;;//div[normalize-space() = 'Каналы связи:'];;;Каналы связи: на странице "Главная";
MainPageSTCoeb;;;;//div[contains(.,'СОЕВ:')];;;СОЕВ: на странице "Главная";
MainPageSTCollected;;;;//div[contains(.,'Собрано:')];;;Собрано: на странице "Главная";
MainPageSTTotal;;;;//td[contains(.,'Всего:')];;; "Всего:" на странице "Главная";
MainPageSTOnControl;;;;//td[contains(.,'На контроле:')];;;На контроле: на странице "Главная";
MainPageSTWithoutControlTable;;;;//td[contains(.,'Без контроля:')];;;Без контроля: на странице "Главная" (таблица);
MainPageSTLagData;;;;//block-table-component[contains(.,'Контроль отставания данных')];;;Контроль отставания данных на странице "Главная";
MainPageSTDuplicatesChannels;;;;//block-table-component[contains(.,'Дубликаты каналов')];;;Дубликаты каналов на странице "Главная";
MainPageSTDiffTime;;;;//block-table-component[contains(.,'Разница времени')];;;Разница времени на странице "Главная";
MainPageSTLanAddressDup;;;;//block-table-component[contains(.,'Дубликаты сетевых адресов')];;;Дубликаты сетевых адресов на странице "Главная";
MainPageSTDuplicates;;;;//block-table-component[contains(.,'Дубликаты')];;;Дубликаты на странице "Главная";
MainPageSTWithoutControl;;;;//block-table-component[contains(.,'Без контроля')];;;Без контроля на странице "Главная" ;
MainPageSTChannelPasport;;;;//block-table-component[contains(.,'Паспорта каналов')];;;Паспорта каналов на странице "Главная";
MainPageSTPlusRotate;;div.toRotate.bg-after-sign.plus;;;;;Плюс крутящийся на странице "Главная";
MainPageSTMinusRotate;;.minus;;;;;Минус крутящийся нас странице "Главная";
