NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
BalancePage;;;Балансы;;;;Имя вкладки "Балансы";
BalancePageNoGroup;sunrise-balancesPage-balanceGroupEditor-divTitleCard-selectedBalanceGroup;;;;;;Надпись "Нет балансных групп" на странице "Балансы";
BalancePageMini;;;Балансы мини;;;;Имя вкладки "Балансы мини";
BalancePageMiniCalendar;sunrise-dateTimeRangeComp;;;;;;Календарь на странице "Балансы мини";
BalancePageSTChannel1;;;;//span[3][contains(.,'Канал №01')];;;Канал №01 на странице "Балансы";
BalancePageSTGeoRegion;;;;//mat-tree-node[contains(.,'Географический регион')];;;Географический регион на странице "Балансы" (надпись);
BalancePageSTAbonents;;;;//button[contains(.,'Абоненты')];;;Абоненты на странице "Балансы" (вкладка);
BalancePageSTConnection;;;;//button[contains(.,'Связь')];;;Связь на странице "Балансы" (вкладка);
BalancePageSTPowerSystem;;;;//span[contains(.,'Энергосистема')];;;Энергосистема на странице "Балансы";
BalancePageSTBalanceGroup;;;;//button[contains(.,' Балансная группа')];;;Балансная группа на странице "Балансы", меню "Географический регион";
BalancePageSTGeoSubRegion;;;;//button[contains(.,' Георгафический субрегион')];;;Географический субрегион на странице "Балансы", меню "Географический регион";
BalancePageSTReportGroup;;;;//button[contains(.,' Группа отчетов')];;;Группа отчетов на странице "Балансы", меню "Географический регион";
BalancePageSTObjProc;;;;//button[contains(.,' Процессы объекта')];;;Процессы объекта на странице "Балансы", меню "Географический регион";
BalancePageSTChannelTypeChange;;.mat-menu-item-highlighted;;;;;Изменить тип каналов на странице "Балансы", меню "Связь" (Канал №01);
BalancePageSTArrowRegion;;;;//mat-tree-node[@id='43']/div/span;;;Стрелка для раскрытия списка каналов на странице "Балансы" (Регион(Область));
BalancePageSTExport;;;;//button[contains(.,' Экспорт')];;;Экспорт на странице "Балансы", меню "Абоненты" (Регион - Канал №01);
BalancePageSTImport;;;;//button[contains(.,' Импорт')];;;Импорт на странице "Балансы", меню "Абоненты" (Регион - Канал №01);
BalancePageSTChannel1Region;;;;//mat-tree-node[@id='378']/div/span[3]/span;;;Канал №01 на странице "Балансы", вкладка "Регион (Область)";
