NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
GraphsPage;;;Графики;;;;Имя вкладки "Графики";
GraphsPageButtonBuild;sunrise-graphicPage-btn-buildGraph;div:nth-child(1) > .okay;;;;;Кнопка "Построить график" на странице "Графики";
GraphsPageChooseObj;sunrise-graphicPage-div-alertDanger;.alert:nth-child(2);;;;;Алерт "Выберите объекты" на странице "Графики";
GraphsPageAddObj;;;;//button[contains(.,'Добавить объекты')];;;Кнопка "Добавить объекты" на странице "Графики";
GraphsPageArrowList;;;;//mat-tree-node[@id='192']/div/span;;;Стрелка, разворачивающая список "Канала" на странице "Графики", кнопка "Добавить объекты" (МК, Счетчики и т.д.);
GraphsPageSqrAll;;;;//input[@id='192'];;;Квадрат для чекбокса у "Канал 01" на странице "Графики";
GraphsPageSqrMk;;;;//input[@id='212'];;;Квадрат для чекбокса у "МК-01", "Канал 01" на странице "Графики";
GraphsPageSqr1;;;;//input[@id='226'];;;Квадрат для чекбокса у "счетчик 1", "Канал 01" на странице "Графики";
GraphsPageSqr2;;;;//input[@id='238'];;;Квадрат для чекбокса у "счетчик 2", "Канал 01" на странице "Графики";
GraphsPageSqr3;;;;//input[@id='214'];;;Квадрат для чекбокса у "счетчик 3", "Канал 01" на странице "Графики";
GraphPageCheckBoxAddObj;;;;//input[@type='checkbox'];;;Квадрат для чекбокса под кнопкой "Добавить объекты" на странице "Графики";
GraphPageAddChannels;;;;//button[contains(.,'Добавить каналы')];;;Кнопка "Добавить каналы" на странице "Графики";
GraphPageActiveLineDay;defaultChannels_1100010;;;;;;Квадрат для чекбокса у "Активная прямая, Суточный архив", "Добавить каналы" на странице "Графики";
GraphPageVoltageInstVal;defaultChannels_1100017;;;;;;Квадрат для чекбокса у "Напряжение, Мгновенное значение", "Добавить каналы" на странице "Графики";
GraphPageActiveLineDayUnder;channel_GRAPH1100010;;;;;;Квадрат для чекбокса у "Активная прямая, Суточный архив", под кнопкой "Добавить каналы" на странице "Графики";
GraphPageVoltageInstValUnder;channel_GRAPH1100017;;;;;;Квадрат для чекбокса у "Напряжение, Мгновенное значение", под кнопкой "Добавить каналы" на странице "Графики";
GraphPageButtonAcceptAddChannels;;.rigthCursor:nth-child(6) > .button;;;;;Кнопка "Принять" в окне "Измерительные каналы" на странице "Графики" (Добавить каналы);
GraphPageButtonOther;;.other;;;;;Кнопка "Еще" в окне "Измерительные каналы" на странице "Графики" (Добавить каналы);
