NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
DiagnosticDebaggingPage;;;Отладка;;;;Обслуживание вкладка "Отладка";
DiagnosticDebaggingPageDelDiag;;.ng-star-inserted > thead th:nth-child(1);;;;;Удалить отладку надпись на странице "Отладка" в "Обслуживание";
DiagnosticDatabasePage;;;База данных;;;;Обслуживание вкладка "База данных";
DiagnosticDatabasePageNameBD;;.table:nth-child(2) th:nth-child(2);;;;;Имя сервера БД надпись на странице "База данных" в "Обслуживание";
DiagnosticAboutServerPage;;;О сервере;;;;Обслуживание вкладка "О сервере";
DiagnosticAboutServerPageInfo;;.ng-star-inserted:nth-child(2) > .font-weight-bold:nth-child(1);;;;;Информация о сервере надпись на странице "О сервере" в "Обслуживание";
DiagnosticProcessPage;;;Процессы;;;;Обслуживание вкладка "Процессы";
DiagnosticProcessPageList;;;;//h3[contains(.,'Список процессов сервера')];;;Список процессов сервера надпись на странице "Процессы" в "Обслуживание";
DiagnosticProgrammPage;;;Программы;;;;Обслуживание вкладка "Программы";
DiagnosticProgrammPageInstProg;;;;//h3[contains(.,'Установленные программы')];;;Установленные программы надпись на странице "Программы" в "Обслуживание";
DiagnosticPortsPagePorts;;;;//h3[contains(.,'Порты')];;;Обслуживание вкладка "Порты";
DiagnosticPortsPage;;;Порты;;;;Порты надпись на странице "Порты" в "Обслуживание";
DiagnosticEditorPage;;;Редактор АП;;;;Обслуживание вкладка "Редактор АП";
DiagnosticEditorPageBrTower;;.fa-broadcast-tower;;;;; Пиктограмма "Структура связи" (вышка с радиоволнами) ;
DiagnosticScheManagPage;;;Управление расписанием;;;;Обслуживание вкладка "Управление расписанием";
DiagnosticScheManagPageScheGr;;;;//label[contains(.,'Количество групп расписания')];;;Количество групп расписания на странице "Управление расписанием" в "Обслуживание";
DiagnosticDebagManagPage;;;Управление отладкой;;;;Обслуживание вкладка "Управление отладкой";
DiagnosticDebagManagPageSaveB;;.btn-success;;;;;Кнопка "Сохранить" на странице "Управление отладкой" в "Обслуживание";
DiagnosticDebagTab;;;Обслуживание;;;;Вкладка Обслуживание;
