NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
ConnectionPage;;;Связь;;;;Имя вкладки "Связь";
ConnectionPagePicto;;.fa-gg;;;;;Значок возле "Канал №01" на странице "Связь" (пиктограмма);
ConnectionPageSTConnect;;.mir-tabs-item:nth-child(1);;;;;Вкладка "Связь" на странице "Связь";
ConnectionPageSTParameters;;.mir-tabs-item:nth-child(2);;;;;Вкладка "Праметры" на странице "Связь";
ConnectionPageSTChangeTypePicto;;.fa-exchange-alt;;;;;Пиктограмма "Изменить тип счетчиков" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTCreatePicto;;.mat-menu-trigger .fa-plus-square;;;;;Пиктограмма "Создать" (плюс) на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTCommandsPicto;;.fa-fas;;;;;Пиктограмма "Команды" (инструменты) на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTUpdatePicto;;;;//button[contains(.,' Обновить')];;; Пиктограмма "Обновить" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTCopyPicto;;;;//button[contains(.,' Копировать')];;;Пиктограмма "Копировать" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTDeletePicto;;;;//button[contains(.,' Удалить из системы')];;;Пиктограмма "Удалить из системы" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTSortPicto;;.fa-sort;;;;;Пиктограмма "Сортировать" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTExportPicto;;;;//button[contains(.,' Экспорт каналов')];;;Пиктограмма "Экспорт каналов" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTCreateCardPicto;;;;//button[contains(.,' Создать карточку')];;;Пиктограмма "Создать карточку" (планшет) на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTShowCardPicto;;;;//button[contains(.,' Показать карточки')];;;Пиктограмма "Показать карточки" на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTMinusPicto;;;;//button[contains(.,' Свернуть')];;;Пиктограмма "Свернуть" (-) на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTPlusPicto;;;;//button[contains(.,' Развернуть')];;;Пиктограмма "Развернуть" (+) на странице "Связь" (правая кнопка мыши на Канал №01);
ConnectionPageSTTimeCorrection;;;;//div[normalize-space() = 'Коррекция времени'];;;Коррекция времени на странице "Связь" на вкладке "Параметры";
ConnectionPageSTData;;;;//div[normalize-space() = 'Опрос данных'];;;Опрос данных на странице "Связь" на вкладке "Параметры";
ConnectionPageSTListIndic;;;;//div[normalize-space() = 'Списки индикации'];;;Списки индикации на странице "Связь" на вкладке "Параметры";
ConnectionPageSTTarifList;;;;//div[normalize-space() = 'Тарифные расписания'];;;Тарифные расписания на странице "Связь" на вкладке "Параметры";
ConnectionPageCheckBy;by;;;;;;Критерии поиска на странице "Связь";
ConnectionPageCheckFind;;;;//div[@id='left-tree']/div/div[2]/app-communication-new-tree-for-config-link/app-mir-mat-tree/div/div[2]/search-component/div/div/div/span;;;Кнопка выбора критериев поиска на странице "Связь";
ConnectionPageFindString;;;;//input[@type='text'];;;Строка поиска на странице "Связь";
ConnectionPageFindMK;;.searchTitle;;;;;Название предложения по выбору на странице "Связь", строка поиска;
ConnectionPageMK;;;;//mat-tree-node[@id='212']/div/span/span[2];;;МИР МК-01 в Канал №01 на странице "Связь";
